Species,Red,Green,Blue,id,L,a,b,color,brightness
Carex concinnoides,160.614,142.458,91.952,Perigynium_201,59.7213492477604,-0.41434686007574273,29.371315679762766,brown,light
Carex concinnoides,198.256,178.444,142.165,Perigynium_202,73.57716985743674,1.6114532969104811,21.18072039291401,brown,light
Carex crawei,154.407,123.934,92.018,Perigynium_213,54.14687438242791,7.342720923191825,21.936085441148013,brown,light
Carex curatorum,152.643,124.19,87.595,Perigynium_236,53.95057981483107,5.924862592763813,24.14567009597236,brown,light
Carex dasycarpa,155.655,140.948,96.204,Perigynium_239,58.914493379782,-1.188735736555535,25.90720821788026,brown,light
Carex davisii,146.077,132.409,86.864,Perigynium_242,55.5169166777541,-1.6254761686317343,26.469460038995596,brown,light
Carex decomposita,157.516,130.284,93.095,Perigynium_250,56.17080336709148,5.19558148885102,24.06509578324867,brown,light
Carex deflexa,197.967,171.767,121.65,Perigynium_254,71.45700533660178,2.5150790675378953,29.33188089193248,brown,light
Carex diandra,156.387,130.412,90.713,Perigynium_261,56.04858556859145,4.365568856526725,25.215477886346214,brown,light
Carex echinata,186.165,160.083,112.661,Perigynium_282,67.16626677666561,2.9643315946247806,28.301013063944993,brown,light
Carex epapillosa,176.193,158.215,115.475,Perigynium_300,65.79120858922757,0.22740959695088936,24.78533414234565,brown,light
Carex fissa,172.395,151.968,99.659,Perigynium_315,63.51082128978804,0.19594720766674678,30.29902147975061,brown,light
Carex fissa,171.032,150.226,101.526,Perigynium_316,62.948124584589635,0.7870311768111704,28.536977561602363,brown,light
Carex fissa,156.824,141.352,95.191,Perigynium_317,59.116594070180724,-1.0397996161621847,26.749443941494523,brown,light
Carex floridana,182.176,160.43,117.77,Perigynium_325,66.9694903460409,1.7485737126928802,25.206487547276613,brown,light
Carex geophila,180.658,154.2,115.6,Perigynium_343,65.15830976277783,4.2607641342924385,23.94502436993553,brown,light
Carex grisea,157.891,137.969,96.823,Perigynium_376,58.33006313341092,1.48571358173899,24.83693644197251,brown,light
Carex grisea,146.79,123.513,85.528,Perigynium_377,53.13027546542281,3.5471051999467207,24.123336773805313,brown,light
Carex hallii,169.3,134.789,93.5,Perigynium_387,58.58038638263372,7.722626468254168,27.221424217329137,brown,light
Carex hassei,144.457,123.786,87.729,Perigynium_390,53.008343953842186,2.649071968190808,22.675395512597373,brown,light
Carex haydenii,150.55,130.963,76.75,Perigynium_394,55.39457730568816,0.025546842580714824,31.93265721128008,brown,light
Carex helleri,157.523,129.224,94.781,Perigynium_399,55.92052793549914,5.996417844450708,22.787013609304907,brown,light
Carex heteroneura,179.753,159.41,111.635,Perigynium_402,66.36901097179535,0.570979463397181,27.694359056793427,brown,light
Carex heteroneura,179.113,164.911,120.458,Perigynium_403,67.9212143243589,-1.5828291971710096,24.970184111708306,brown,light
Carex hirtifolia,173.291,151.448,108.18,Perigynium_409,63.59928740947248,1.8361277982895663,25.806900060590543,brown,light
Carex hitchcockiana,164.498,147.49,94.773,Perigynium_412,61.491151817198684,-1.2228148331767108,30.187948805368126,brown,light
Carex hookerana,188.08,168.413,121.587,Perigynium_418,69.67238841891918,0.29977725049235016,26.839011526170253,brown,light
Carex idahoa,189.173,165.423,121.308,Perigynium_433,68.9880774105793,2.320095397669142,26.096888982853027,brown,light
Carex idahoa,196.239,180.033,127.217,Perigynium_434,73.53964142509938,-1.9333669517222485,29.092858560250455,brown,light
Carex interrupta,182.652,168.783,125.783,Perigynium_450,69.35792604014848,-1.5571202498682601,24.069923557464755,brown,light
Carex lasiocarpa,185.428,163.221,114.436,Perigynium_479,67.94598107921188,1.1664965778706016,28.357000392746023,brown,light
Carex lasiocarpa,187.345,164.448,128.081,Perigynium_480,68.68898547184378,2.9601932516104545,21.989813062300545,brown,light
Carex latebracteata,161.5,145.313,92.259,Perigynium_481,60.58265580996259,-1.5768650258136119,30.32497010100592,brown,light
Carex laxa,203.573,189.777,148.825,Perigynium_485,77.0999445334512,-1.4315009478236274,22.503670695083365,brown,light
Carex lenticularis,147.933,134.015,91.44,Perigynium_503,56.211686403690905,-1.181366832634645,24.86801177147798,brown,light
Carex livida,198.281,154.219,106.438,Perigynium_516,66.77780145841126,10.497472772971916,31.375845242757162,brown,light
Carex lucorum,165.48,141.377,107.804,Perigynium_527,60.176377558170714,4.121267433925768,21.31317949203524,brown,light
Carex lucorum,208.452,176.5,139.095,Perigynium_529,73.95902289094728,6.266185442179162,23.507637651783895,brown,light
Carex lupuliformis,172.036,157.352,109.729,Perigynium_530,65.08154756491585,-1.7172815783623174,26.899329082425428,brown,light
Carex lurida,155.788,136.634,83.36,Perigynium_534,57.54786764469641,-0.18269585581220937,31.168351226142967,brown,light
Carex luzulifolia,159.656,137.643,89.527,Perigynium_539,58.29224617701776,1.5803651753095171,28.840262544012774,brown,light
Carex lyngbyei,177.688,155.137,102.888,Perigynium_541,64.90342043203194,1.0407095599661575,30.458163891134515,brown,light
Carex maritima,182.224,155.407,104.224,Perigynium_559,65.43014388130791,2.9343122544578937,30.506600197562285,brown,light
Carex mckittrickensis,206.167,183.5,144.317,Perigynium_560,75.62585141781203,2.2995899964103894,22.937318265370354,brown,light
Carex mertensii,185.046,168.789,130.26,Perigynium_571,69.65558994657096,-0.01601576231818891,22.08169072275301,brown,light
Carex microchaeta,160.828,133.931,91.897,Perigynium_578,57.455540626937974,4.418899116141295,26.477903446098196,brown,light
Carex microglochin,210.051,187.035,140.383,Perigynium_583,76.8061457298134,1.4552439765287417,26.687502064435886,brown,light
Carex misera,185.953,163.394,120.906,Perigynium_590,68.1525508761178,2.062488069457691,25.146289537345055,brown,light
Carex nardina,169.019,150.903,113.631,Perigynium_611,63.15231669208826,1.0576289608047462,22.143674314685825,brown,light
Carex nervina,172.369,156.321,104.679,Perigynium_618,64.75143101565631,-1.6189674694501721,29.201750503052025,brown,light
Carex nudata,179.921,161.237,110.5,Perigynium_635,66.84838354180455,-0.48253264966752196,28.937503348328807,brown,light
Carex obispoensis,181.593,168.065,124.491,Perigynium_638,69.05072801251538,-1.763500956670383,24.33962180009177,brown,light
Carex occidentalis,167.087,149.817,98.583,Perigynium_644,62.42009051358306,-0.9789075012366366,29.374066582211956,brown,light
Carex oklahomensis,151.043,125.578,73.853,Perigynium_645,53.939399636019076,2.9891462111460987,31.70545182756458,brown,light
Carex oreocharis,175.036,159.95,120.139,Perigynium_654,66.23192884173827,-0.5879576500437689,22.812164532779544,brown,light
Carex pallescens,153.169,135.306,82.77,Perigynium_673,56.92427359265605,-0.6396108258899247,30.648464279897738,brown,light
Carex panicea,195.368,178.842,140.679,Perigynium_675,73.39574934325007,0.0686418869313421,21.691785696769173,brown,light
Carex peckii,166.117,143.438,102.029,Perigynium_690,60.679721547726814,2.5287128630667732,25.201322017010508,brown,light
Carex pensylvanica,166.053,144.789,98.175,Perigynium_698,60.9680535712597,1.3039015214197924,27.693978273632403,brown,light
Carex picta,206.475,192.929,163.889,Perigynium_709,78.46150548838862,0.13745236043993803,16.37612447228762,brown,light
Carex praeceptorum,157.382,137.676,97.559,Perigynium_729,58.214976653213114,1.5234337615949167,24.26731738741492,brown,light
Carex purpurifera,165.792,149.588,96.208,Perigynium_748,62.20032248350341,-1.665708796795895,30.348470346414235,brown,light
Carex ramenskii,158.636,139.818,100.891,Perigynium_755,58.971803229188225,1.2672603520486603,23.438898468190583,brown,light
Carex ramenskii,163.321,130.786,80.643,Perigynium_756,56.70455549182027,6.086547233225659,31.743372569246063,brown,light
Carex retrorsa,172.964,138.381,90.226,Perigynium_767,59.844019785425914,6.93883086706032,30.7150922775524,brown,light
Carex rupestris,173.614,134.272,87.158,Perigynium_783,58.80436633139293,9.204959205883545,31.078091623383486,brown,light
Carex rupestris,165.575,138.057,101.247,Perigynium_784,59.18781582782087,5.202383249145182,23.64976211084464,brown,light
Carex saxatilis,160.625,142.294,89.325,Perigynium_795,59.63720070527137,-0.6061445129982856,30.68687587580763,brown,light
Carex saximontana,176.44,159.103,123.074,Perigynium_797,66.19005682815354,0.8271172827690187,21.169076256942265,brown,light
Carex schottii,190.529,164.498,120.76,Perigynium_803,68.86566187734266,3.3045106650377853,26.252546687383816,brown,light
Carex schottii,159.523,130.991,79.364,Perigynium_804,56.34423205163431,4.193564625751211,31.900372582600824,brown,light
Carex scirpoidea,163.536,124.964,77.536,Perigynium_807,55.16128930807905,9.167223472564935,31.512513475473114,brown,light
Carex scirpoidea,168.726,152.137,118.716,Perigynium_808,63.55159618126791,0.9367028987239401,19.86710039435371,brown,light
Carex scirpoidea,179.945,151.956,117.758,Perigynium_810,64.54602335911281,5.4694145320656755,21.922935967998882,brown,light
Carex scopulorum,192.13,173.652,124.826,Perigynium_823,71.4654507310015,-0.4788015131573231,27.550468956457497,brown,light
Carex simulata,160.25,147.5,111.75,Perigynium_842,61.39823081000799,-0.9056772071441843,20.68071892315757,brown,light
Carex specuicola,197.162,176.907,128.062,Perigynium_853,72.82204915851722,0.19892430537787886,27.707373748264462,brown,light
Carex spissa,178.643,152.881,121.429,Perigynium_855,64.73143468314031,4.903728071053548,20.125433412382154,brown,light
Carex striatula,155.504,141.355,91.785,Perigynium_876,58.93825557293883,-1.9984079685023692,28.35921197533231,brown,light
Carex subnigricans,160.759,133.217,81.942,Perigynium_889,57.10165631796875,3.7365468947554437,31.479721693452667,brown,light
Carex tenuiflora,148.105,129.596,85.789,Perigynium_911,54.92075605831765,0.7012026026230744,26.33191200798366,brown,light
Carex timida,171.985,154.418,113.853,Perigynium_922,64.36653871867539,0.3732654473551089,23.699614650069954,brown,light
Carex tincta,158.363,141.071,97.354,Perigynium_924,59.221844065050504,0.023504665220719367,25.72380053392118,brown,light
Carex tompkinsii,182.17,158.823,114.718,Perigynium_926,66.49391400090994,2.249201369264431,26.23138871680446,brown,light
Carex tonsa,144.955,131.213,106,Perigynium_931,55.442535353514,1.099140259166742,15.561628827040286,brown,light
Carex torreyi,184.84,167,110.912,Perigynium_933,68.82842626516296,-1.513466246189643,31.380636692668883,brown,light
Carex trichocarpa,180.104,158.143,105.731,Perigynium_942,65.97029443899986,0.7275980160562079,30.357238396552688,brown,light
Carex ursina,195.884,171.421,121.471,Perigynium_961,71.17072598020737,1.8346057429071139,29.01442253154802,brown,light
Carex ursina,169.406,143.246,98.188,Perigynium_962,60.884846891637935,3.572953266760104,27.64130732404524,brown,light
Carex vacillans,204,185.483,128.367,Perigynium_966,75.66257270742766,-1.5658880526571162,31.409322449413256,brown,light
Carex viridula,165.701,147.522,107.866,Perigynium_993,61.83384084850998,0.8151952195746826,23.504987176349257,brown,light
Carex willdenowii,175.657,163.564,125.486,Perigynium_1001,67.35018945441108,-1.5824317325246473,21.412361007094827,brown,light
Carex abrupta,164.538,121.769,76.538,Cataphyll_4,54.435009309271464,11.318917565915187,31.17817528275203,brown,light
Carex alata,163.528,118.583,81.472,Cataphyll_19,53.58293297889932,13.15370239257635,27.343492103598145,brown,light
Carex alata,159.645,120.078,78.276,Cataphyll_20,53.474586055283,10.31204810394465,28.89727532148123,brown,light
Carex amphibola,151.479,127.745,83.795,Cataphyll_34,54.7203852554765,2.980484170662989,27.24647947164922,brown,light
Carex bicolor,161.687,139.022,100.708,Cataphyll_99,59.04948117790866,2.967396918658105,23.69684441367599,brown,light
Carex blanda,169.544,136.41,100.651,Cataphyll_106,59.15038173392256,7.718078189026533,24.00518878901492,brown,light
Carex blanda,158.48,124.236,90.882,Cataphyll_107,54.63848946199187,8.77525715184152,23.30946074484509,brown,light
Carex bromoides,178.486,144.946,96.712,Cataphyll_117,62.21739635029893,6.308211448925682,30.346061709388827,brown,light
Carex brunnescens,172.06,149.728,110.617,Cataphyll_121,63.07094309341059,2.5700390893682035,23.74629962137753,brown,light
Carex brunnescens,179.508,143.907,98.792,Cataphyll_123,62.08714377626714,7.530953483141922,29.069281700439475,brown,light
Carex brunnescens,186.307,129.016,52.734,Cataphyll_124,58.513809625458066,15.128546372934037,48.60359469038422,brown,light
Carex crawfordii,164.604,122.039,79.891,Cataphyll_187,54.561950610109676,11.506299348174542,29.493497913068722,brown,light
Carex densa,165.925,118.65,69.8,Cataphyll_223,53.70549094141681,13.108911398030775,33.98164718024741,brown,light
Carex douglasii,163.5,121.042,61.625,Cataphyll_232,53.934859894550215,10.05571269512301,38.496394415479784,brown,light
Carex fraserianus,148.339,123.623,83.443,Cataphyll_286,53.28245143877132,3.9161196889477834,25.52411491556147,brown,light
Carex hormathodes,174.458,126.6,63.117,Cataphyll_361,56.62600813800546,11.881810554562279,41.14701962546524,brown,light
Carex idahoa,166.784,125.389,85.216,Cataphyll_369,55.7477468675618,11.071683916543174,28.101826487043013,brown,light
Carex impressinervia,175.429,136.773,94.767,Cataphyll_372,59.760692079961004,9.34780792862272,28.178779576666923,brown,light
Carex impressinervia,168.69,128.81,83.81,Cataphyll_373,56.81431618632065,9.826290633671631,30.27776682617298,brown,light
Carex latebracteata,156.245,121.821,83.083,Cataphyll_410,53.63087638185931,8.330803548552145,26.339839230982577,brown,light
Carex laxiculmus,192.359,132.176,73.982,Cataphyll_415,60.22298000568361,17.30177030915486,40.2933343414955,brown,light
Carex laxiculmus,157.24,120.457,78.372,Cataphyll_416,53.307187626550515,9.058177179927851,28.57639929081858,brown,light
Carex loliacea,162.987,131.829,86.553,Cataphyll_438,57.034048559557235,5.947149813148589,28.926623552338793,brown,light
Carex lupuliformis,169.681,119.677,69.9,Cataphyll_449,54.40685409208581,14.177028375147561,34.87773790866837,brown,light
Carex phaeocephala,171.765,121.445,53.487,Cataphyll_601,54.91119597944078,12.972405137709309,43.913640326176996,brown,light
Carex pigra,148.841,129.81,86.85,Cataphyll_607,55.068779021140955,1.0203681485402294,25.947859796216356,brown,light
Carex proposita,169.067,119.067,68.333,Cataphyll_634,54.16077502235436,14.130167036476294,35.40356147669985,brown,light
Carex stenoptila,160.677,117.859,75.685,Cataphyll_727,52.98027934188583,11.778080939230717,29.735783651492408,brown,light
Carex tenuiflora,156.848,124.989,90.207,Cataphyll_773,54.649934307953686,7.57345165079154,23.673640892979975,brown,light
Carex torta,174.547,129.938,78.217,Cataphyll_794,57.66965096218378,11.213614648654946,34.513830405959524,brown,light
Carex tribuloides,158.438,120.305,76.92,Cataphyll_798,53.37797635063319,9.526223096183228,29.49810375380769,brown,light
Carex trisperma,164.614,128.114,82.909,Cataphyll_804,56.17734240329827,8.370937271555412,29.873618118406387,brown,light
Carex wiegandii,166.454,135.637,96.935,Cataphyll_840,58.56480646110876,6.422166853777888,25.241864217204668,brown,light
Carex plantaginea,166.792161446713,146.529587990021,103.91044498675,Leaf_2_41,61.6010136138422,1.327283976446103,25.393661311456995,brown,light
Carex exsiccata,200.722401783456,153.32300333751,104.067815253155,Perigynium_2_1,66.77451227825858,11.764580586578532,32.69280487164665,brown,light
Carex utriculata,145.870428673405,129.571610350855,81.2448080230013,Perigynium_2_5,54.62394356073207,-0.7649570921262616,28.419405991929715,brown,light
Carex adelostoma,170.896990086981,156.395226068329,118.087261273861,Perigynium_2_7,64.87301269146442,-0.5991183285518065,22.03938507251484,brown,light
Carex adelostoma,179.088874685918,164.255590955006,122.060763978022,Perigynium_2_8,67.77421838228648,-1.0332785615458917,23.903305525832153,brown,light
Carex norvegica,159.305163483389,131.073689973448,93.3805859113899,Perigynium_2_11,56.56815321600493,5.545137752343665,24.46207309762474,brown,light
Carex raynoldsii,180.742044726786,164.040680650556,117.997993233953,Perigynium_2_15,67.7930178945228,-0.7619327600849601,26.156150813768964,brown,light
Carex stylosa,158.362540298864,140.481823742383,97.2556182173378,Perigynium_2_17,59.06077191407539,0.3384450889427626,25.566669390596086,brown,light
Carex atrata,159.625836123961,139.741754708069,99.7109830755123,Perigynium_2_24,59.02489187589275,1.5791680024174193,24.182159779957058,brown,light
Carex austrocaroliniana,154.990693662607,129.243656044532,87.5380519976277,Perigynium_2_26,55.54073023465321,4.065771209662616,26.296325346138673,brown,light
Carex hirtissima,140.471305946734,128.168773617759,85.5823118713259,Perigynium_2_33,53.79129399918577,-1.8089788458151013,24.83847999307529,brown,light
Carex plantaginea,178.686880852521,160.045959481588,114.874297172464,Perigynium_2_39,66.49432516385139,0.1775607752502184,26.088566417562742,brown,light
Carex sabulosa,186.182348342435,166.058748061294,118.058169700919,Perigynium_2_42,68.82100991898122,0.37077591708017943,27.57624561408718,brown,light
Carex thornei,160.394679869626,141.42430223604,99.4251812670128,Perigynium_2_44,59.54589826976617,0.9322001465785212,25.042197456969074,brown,light
Carex albursina,133.16,120.668,77.896,Leaf_32,50.86918596187873,-1.659898159504014,25.221302185611584,brown,medium
Carex calcifugens,111.57,97.97,47.926,Leaf_156,41.79930421852629,-1.4944712949887529,30.147872024894895,brown,medium
Carex purpurifera,140.86,124.385,74.263,Leaf_749,52.596077779046226,-0.7895782438655519,29.586926215104846,brown,medium
Carex ramenskii,114.342,99.137,47.041,Leaf_756,42.41244175587247,-0.9567150921150347,31.415664021943645,brown,medium
Carex rossii,112.519,99.435,57.711,Leaf_778,42.4586050389204,-0.9364090286141935,25.524639386374226,brown,medium
Carex williamsii,131.323,119.952,81.569,Leaf_1005,50.55530334710356,-1.603610827238089,22.703675909477017,brown,medium
Carex aboriginum,143.672,124.233,77.125,Perigynium_2,52.875170826882695,0.8379188788466552,28.42344916375269,brown,medium
Carex aestivalis,128.509,114.335,77.961,Perigynium_15,48.638866599929656,-0.06390273810130687,22.196397759688193,brown,medium
Carex aestivalis,128.509,114.335,77.961,Perigynium_16,48.638866599929656,-0.06390273810130687,22.196397759688193,brown,medium
Carex angustata,106.923,86.077,49.308,Perigynium_43,37.891630745168136,3.5424818941383607,24.537635834745842,brown,medium
Carex aperta,123.283,103.902,55.054,Perigynium_48,44.80969497680068,1.1375827725957355,30.142412598486857,brown,medium
Carex atlantica,129.266,107.048,66.548,Perigynium_79,46.48901943318731,3.175907406502032,25.945248156442613,brown,medium
Carex aureolensis,109.41,99.079,59.554,Perigynium_93,42.071807602145476,-1.9452869452850907,23.918307459713407,brown,medium
Carex biltmoreana,98.819,83.953,44.859,Perigynium_123,36.317605699091374,0.5369259569267815,24.969529064378225,brown,medium
Carex breweri,142.631,98.049,55.24,Perigynium_136,45.45123402239883,13.426010991898218,31.339533810569932,brown,medium
Carex bulbostylis,121,107.658,61.379,Perigynium_147,45.7322798569091,-1.466060972877825,27.720624942870987,brown,medium
Carex californica,143.813,115.358,68.808,Perigynium_157,50.34699711955439,5.118474665325223,29.84578090884067,brown,medium
Carex capitata,138.557,119.649,86.155,Perigynium_165,51.25878506730875,2.2763536188454836,21.14762046831108,brown,medium
Carex caroliniana,129.781,108.416,59.376,Perigynium_169,46.81771780014167,1.896049564477087,30.36213231107572,brown,medium
Carex communis,121.701,106.431,72.035,Perigynium_193,45.62690879038916,0.7806324460674086,21.53680234031159,brown,medium
Carex congdonii,124.402,101.809,73.849,Perigynium_203,44.64726934093836,4.917268342525927,19.240058688476847,brown,medium
Carex debilis,130.746,114.048,67.383,Perigynium_247,48.60696539676691,-0.12097172098585185,28.172160777947486,brown,medium
Carex duriuscula,139.191,121.051,69.702,Perigynium_274,51.43954220189963,-0.10888541319514777,30.6027410120995,brown,medium
Carex eburnea,114.419,87.952,62.935,Perigynium_279,39.5018347570049,7.377229273461017,18.71909264760986,brown,medium
Carex edwardsiana,144.665,110.578,64.968,Perigynium_285,49.10487489343541,7.893885413689294,30.45141928453604,brown,medium
Carex eleusinoides,128,112.2,61.4,Perigynium_289,47.724533445249335,-0.9053826705691104,30.31620046369694,brown,medium
Carex endlichii,109.316,94.579,50.474,Perigynium_297,40.61560729885336,-0.3077975919817677,27.268299800031105,brown,medium
Carex engelmannii,107.822,77.546,32.575,Perigynium_299,35.376157283725604,7.744763375272662,30.955503553763663,brown,medium
Carex epapillosa,119.157,103.183,67.157,Perigynium_301,44.362717030415226,0.953789321529841,22.66580299445222,brown,medium
Carex exilis,148.385,118.667,75.558,Perigynium_303,51.82789256994123,5.917376099036309,28.067124351201777,brown,medium
Carex filifolia,117.942,87.574,42.997,Perigynium_310,39.501545350604495,7.2765958346493465,30.325689671301916,brown,medium
Carex fissa,124.555,98.368,49.503,Perigynium_314,43.32765113727067,4.485749706487963,31.438117926646893,brown,medium
Carex flaccosperma,106.978,86.735,42.65,Perigynium_320,37.99269316787716,2.544511866945154,28.435411854469596,brown,medium
Carex formosa,143.447,123.283,76.501,Perigynium_330,52.58215688320331,1.211070632200273,28.39238484527009,brown,medium
Carex frankii,138.917,119.337,66.63,Perigynium_335,50.89370234185347,0.44182180974533525,31.593724794569987,brown,medium
Carex fuliginosa,165.76,115.027,67.747,Perigynium_339,52.745986185356315,14.922808155165335,33.92706641637858,brown,medium
Carex geophila,142.277,111.822,65.356,Perigynium_342,49.17775331196893,6.140361527506855,30.26721266669489,brown,medium
Carex glacialis,131.362,111.756,79.063,Perigynium_351,48.22489551575498,2.813018622567387,21.071241367268346,brown,medium
Carex glaucescens,103.356,91.806,54.946,Perigynium_355,39.25789331072498,-0.9577205498374208,22.89235062274837,brown,medium
Carex gmelinii,129.371,98.423,57.874,Perigynium_360,44.002756976962765,7.41341851102717,27.748410100578813,brown,medium
Carex gmelinii,131.398,101.545,60.867,Perigynium_361,45.124646467587525,6.783953062567627,27.497429829073518,brown,medium
Carex gracillima,122.565,105.905,70.22,Perigynium_368,45.533972584299185,1.2520590416479904,22.481569922798037,brown,medium
Carex grayi,139.395,124.104,87.927,Perigynium_375,52.60204577194581,0.3190364617751129,21.935015578668228,brown,medium
Carex gynocrates,138.289,98.275,59.89,Perigynium_380,45.0435641226445,11.72800791316897,28.127346248762752,brown,medium
Carex gynocrates,140.495,107.638,77.523,Perigynium_381,48.05724250335004,9.026120642241619,21.9212598122034,brown,medium
Carex hallii,118.16,98.689,74.283,Perigynium_386,43.12385451064744,4.058496655373944,16.831819988744545,brown,medium
Carex hendersonii,104.728,92.406,49.085,Perigynium_400,39.485641101260995,-1.3091614703907295,26.56571579291095,brown,medium
Carex hirsutella,118.549,106.708,66.044,Perigynium_404,45.28939371965262,-1.5076165399218744,24.481738944734488,brown,medium
Carex hirsutella,145.746,121.656,76.156,Perigynium_405,52.366034886012685,3.111180914826317,28.358422737902277,brown,medium
Carex impressinervia,139.187,118.643,78.949,Perigynium_437,50.918258238665516,2.257646102594879,24.808360080333248,brown,medium
Carex inops,137.793,116.448,77.56,Perigynium_442,50.1499242728966,2.746146888266965,24.57150922892395,brown,medium
Carex joorii,127.79,112.238,95.355,Perigynium_458,48.335580727428194,3.2666572133271954,11.642734581130455,brown,medium
Carex krausei,109.696,87.185,41.848,Perigynium_466,38.417380812222206,3.5028598010844734,29.450808484946855,brown,medium
Carex lemmonii,117.077,99.431,47.74,Perigynium_494,42.79168228226202,0.21478327522922447,31.55591207320011,brown,medium
Carex lenticularis,132.217,111.609,59.304,Perigynium_498,47.961142275065335,1.1544316800009002,31.841101480572696,brown,medium
Carex loliacea,135.901,108.314,75.703,Perigynium_518,47.69996606160993,6.407236638118818,22.408908500165403,brown,medium
Carex lucorum,96.982,79.908,58.178,Perigynium_528,35.16624438508174,3.7077039726402248,15.507210121711502,brown,medium
Carex luzulifolia,157.882,117.257,73.727,Perigynium_537,52.47706519316158,10.718507917141851,30.120507013990803,brown,medium
Carex macrocephala,134.509,83.781,31.001,Perigynium_547,40.49720174219366,16.522856438968642,38.20530942212423,brown,medium
Carex meadii,122.671,101.603,64.452,Perigynium_562,44.23910033147032,3.158972775750335,24.139582671872738,brown,medium
Carex misera,110.755,84.176,60.206,Perigynium_589,37.98089111654615,7.671011599531235,18.28326268342608,brown,medium
Carex nigra,134.762,112.752,64.59,Perigynium_622,48.61600275677934,2.148397028761906,29.81716850097741,brown,medium
Carex nudata,99.892,81.432,41.036,Perigynium_636,35.644554087309245,2.2142012833354654,26.367075816795595,brown,medium
Carex oligocarpa,136.005,115.296,66.649,Perigynium_648,49.47813224086889,1.4474094179011132,29.777092396920267,brown,medium
Carex ouachitana,134.332,120.267,78.591,Perigynium_659,50.881336759656335,-0.8368658811855334,24.86835272974521,brown,medium
